trade_date,ticker,open,high,low,close,volume,turnover,ret_1,ret_5,ret_20,vol_10,vol_20,sma_5,sma_10,sma_20,ema_12,ema_26,ma_gap_5_20,ema_gap_12_26,macd,macd_signal,macd_hist,rsi,kdj_k,kdj_d,atr,pdi,mdi,adx,bb_mid,bb_up,bb_dn,bb_bw,bb_pb,obv,vpt,mfi,cci,vwap_win,z_close_20,z_turnover_20,stock_name,currency_code,currency_name,anon_id,alpha_signal,risk_score
2023-12-20,920023.SH,3.78,3.93,3.78,3.86,211338.0,81784030.24,0.0131233595800523,0.0965909090909089,0.237179487179487,0.0336209509296433,0.0816154208770233,3.826000000000001,3.673,3.554,3.649940503168087,3.3950880713667595,0.0765334833989872,0.0750650429220622,0.2548524318013272,0.240216191383481,0.0146362404178461,63.69637914126452,82.35858043766139,76.03636267022904,0.2409053449909793,32.28789939102481,12.01340094103003,42.43591323900834,3.554,4.146813097376452,2.961186902623548,0.3336033187261968,0.7580914636959194,1599105.0,176106.24235234098,78.32140567703777,42.10096750607884,379.57925923130574,1.0323658547836778,0.1281950890552576,田野股份,CNY,人民币,A0001,,
2023-12-21,920023.SH,3.86,3.95,3.25,3.42,273620.0,101609346.8,-0.0966527888505033,-0.0781671159029649,0.125,0.0505964798254049,0.08493008615518764,3.768,3.652,3.5729999999999995,3.614565041142227,3.3969333994136663,0.054575986565911,0.0640670911493659,0.2176316417285608,0.235699281452497,-0.0180676397239361,50.91038849413612,62.88694094905126,71.65322209650311,0.2736978203487665,26.389441860401963,23.650483891139597,39.79574409553534,3.5729999999999995,4.118955463770684,3.027044536229316,0.3056005954495853,0.3598786804483159,1518793.64,153345.49869514717,72.92640380169806,-3.9150694144208273,381.1249297725095,-0.5604852782067358,0.5815763873259412,田野股份,CNY,人民币,A0001,,
2023-12-22,920023.SH,3.42,3.49,3.31,3.45,135777.0,46179033.65,0.0087719298245614,-0.0921052631578946,0.0298507462686568,0.0507512909994741,0.0833201092466585,3.698,3.637,3.5780000000000003,3.589247342504961,3.4008642587163576,0.0335382895472329,0.0553927088697472,0.1883830837886035,0.2262360419197183,-0.0378529581311147,51.623418934233406,51.314298660869866,64.87358095129204,0.2670051188952832,25.11870658265427,22.51163812186356,37.34415846231041,3.5780000000000003,4.117145522782906,3.038854477217096,0.3013669775197904,0.3812936446737948,1518793.64,153345.49869514717,71.70993637615419,-24.324631531087704,377.0197574645117,-0.4748254213048198,-0.727759233730448,田野股份,CNY,人民币,A0001,,
2023-12-25,920023.SH,3.43,3.57,3.4,3.57,148154.0,52032496.79,0.0347826086956519,-0.0962025316455696,-0.1459330143540669,0.0483477949896151,0.0613141807252126,3.622,3.654,3.5474999999999994,3.5862862128888136,3.413392832144776,0.0210007047216351,0.0506514747191877,0.1728933807440378,0.2155675096845822,-0.0426741289405444,54.47208111094641,49.23300661898366,59.66005617385592,0.2600761818313344,26.14308222484526,21.46057837528991,35.37932117973051,3.5474999999999994,4.006279846297144,3.088720153702856,0.2586496666932454,0.5245215653887151,1609416.0,153345.49869514717,70.365133772764,-7.557449800079117,370.0378232598896,0.0980862615548615,-0.5676349445582147,田野股份,CNY,人民币,A0001,,
2023-12-26,920023.SH,3.57,3.7,3.47,3.64,155055.0,56203931.02,0.019607843137255,-0.0446194225721784,-0.0496083550913838,0.0484706210722531,0.0587203365043747,3.588,3.673,3.538,3.5945498724443805,3.4301785482822,0.0141322781232335,0.0479191744244615,0.1643713241621811,0.205328272580102,-0.0409569484179209,56.09616952169476,51.13186356758536,56.81732530509906,0.2579278831290962,28.07803368811048,20.09365890749262,34.036143034403864,3.538,3.979700064940487,3.096299935059512,0.2496891265915702,0.6154629669499185,1764471.0,154300.90083488767,69.57238603650028,12.490401842846252,365.61613961452207,0.4618518677996742,-0.3452731890709059,田野股份,CNY,人民币,A0001,,
2023-12-27,920023.SH,3.59,3.67,3.52,3.62,121370.0,43723335.89,-0.0054945054945054,-0.0621761658031086,0.1036585365853659,0.0483403153252742,0.048234415778292,3.54,3.6830000000000007,3.555,3.598465276683706,3.444239396557592,-0.0042194092827003,0.0447779211515491,0.1542258801261149,0.1951077940893046,-0.0408819139631897,55.48713652811208,51.458801063836255,55.03115055801146,0.2502187486198751,26.875741386318268,19.233254945888053,32.78890618517198,3.555,3.980774835478009,3.1292251645219906,0.2395357724208208,0.5763314251851288,1643101.0,153634.03270301953,64.14655146465407,12.50696668272534,359.4205878226712,0.3053257007405154,-0.7381746946057159,田野股份,CNY,人民币,A0001,,
2023-12-28,920023.SH,3.6,4.21,3.55,3.86,379874.0,146621828.72,0.0662983425414363,0.1286549707602338,0.1626506024096385,0.049890486237707,0.0500791206246756,3.628,3.698,3.582,3.638701387963137,3.4750364782940664,0.0128419877163596,0.0470973213350021,0.1636649096690701,0.1888192172052577,-0.0251543075361876,60.96407672560483,55.486422931446384,55.1829080158231,0.2794888380041697,36.14317274012653,15.989080342061394,33.20823760557544,3.582,4.013477266584182,3.150522733415817,0.2409141633635859,0.8221490696379035,2022975.0,178819.0492776051,67.2420296344436,69.08000116492414,366.6769046616253,1.2885962785516143,2.537578708142805,田野股份,CNY,人民币,A0001,,
2023-12-29,920023.SH,3.85,3.96,3.74,3.91,243021.0,94002145.34,0.0129533678756477,0.1333333333333333,0.2142857142857142,0.049535915149091,0.0492384419631528,3.72,3.709,3.6165,3.680439635968808,3.5072559984204315,0.0286188303608461,0.049378670284226,0.1731836375483766,0.1856921012738815,-0.0125084637255049,62.012734883458144,59.90761528763093,56.75781043975905,0.2752396352895861,34.07964674227538,15.07621408085062,33.59761678166437,3.6165,4.036288167130957,3.1967118328690427,0.2321516201470798,0.84958107800647,2265996.0,181966.9896921129,63.82719055207119,62.90920290503007,374.79091391289904,1.39832431202588,0.7544470304227837,田野股份,CNY,人民币,A0001,,
2024-01-02,920023.SH,3.85,4.09,3.84,4.06,300188.0,119076659.35,0.0383631713554986,0.1372549019607842,0.3096774193548386,0.0494487418150485,0.0482378991948001,3.818,3.72,3.6645,3.738833538127453,3.548199998537436,0.0418883885932599,0.0537268304122078,0.1906335395900171,0.1866803889371086,0.0039531506529084,65.04639804816523,68.06341019175395,60.526343690424014,0.2734368041974728,35.24995850448626,14.091642492630212,34.260736441681466,3.6645,4.05407331584833,3.2749266841516684,0.2126201751116556,1.0076066351448678,2566184.0,193483.1533749773,69.28398333142144,80.91038738030778,383.18035421189353,2.0304265405794717,1.4336146042676343,田野股份,CNY,人民币,A0001,,
2024-01-03,920023.SH,4.01,4.18,3.9,4.08,290305.0,118284176.67,0.0049261083743843,0.1208791208791209,0.1657142857142857,0.0474892133837943,0.0400407415780309,3.906,3.747,3.6934999999999993,3.791320686107845,3.587592591238367,0.0575335048057399,0.0567868534925128,0.2037280948694779,0.1900899301235825,0.0136381647458954,65.44266963623551,74.19505123894709,65.0825795399317,0.2739056038976533,35.02308462403874,13.06270096736696,35.0756252198186,3.6934999999999993,4.116435854287758,3.2705641457122403,0.2290163012252654,0.9569250822336672,2856489.0,194913.22726660295,71.11285860669977,87.9656949525947,390.86347185782,1.8277003289346676,1.324086349496074,田野股份,CNY,人民币,A0001,,
